"cellNum";"totalBeds";"bedsAvailable";"sectionID"
1;4;4;1
2;4;4;1
3;4;4;1
4;4;3;1
5;4;0;1
6;4;0;1
7;4;0;1
8;4;0;1
9;4;0;1
10;4;0;1
11;4;0;1
12;4;0;1
13;4;0;1
14;4;0;1
15;4;0;1
16;4;0;1
17;4;0;1
18;4;0;1
19;4;0;1
20;4;0;1
21;4;0;1
22;4;0;1
23;4;0;1
24;4;0;1
25;4;0;1
26;4;0;1
27;4;0;1
28;4;0;1
29;4;0;1
30;4;0;1
31;4;0;1
32;4;0;1
33;4;0;1
34;4;0;1
35;4;0;1
36;4;0;1
37;4;0;1
38;4;0;1
39;4;0;1
40;4;0;1
41;4;0;1
42;4;0;1
43;4;0;1
44;4;0;1
45;4;0;1
46;4;0;1
47;4;0;1
48;4;0;1
49;4;0;1
50;4;0;1
51;4;0;1
52;4;0;1
53;4;0;1
54;4;0;1
55;4;0;1
56;4;0;1
57;4;0;1
58;4;0;1
59;4;0;1
60;4;0;1
61;4;0;1
62;4;0;1
63;4;0;1
64;4;0;1
65;4;0;1
66;4;0;1
67;4;0;1
68;4;0;1
69;4;0;1
70;4;0;1
71;4;0;1
72;4;0;1
73;4;0;1
74;4;0;1
75;4;0;1
76;4;0;1
77;4;0;1
78;4;0;1
79;4;0;1
80;4;0;1
81;4;0;1
82;4;0;1
83;4;0;1
84;4;0;1
85;4;0;1
86;4;0;1
87;4;0;1
88;4;0;1
89;4;0;1
90;4;0;1
91;4;0;1
92;4;0;1
93;4;0;1
94;4;0;1
95;4;0;1
96;4;0;1
97;4;0;1
98;4;0;1
99;4;0;1
100;4;0;1
101;4;0;2
102;4;0;2
103;4;0;2
104;4;0;2
105;4;0;2
106;4;0;2
107;4;0;2
108;4;0;2
109;4;0;2
110;4;0;2
111;4;0;2
112;4;0;2
113;4;0;2
114;4;0;2
115;4;0;2
116;4;0;2
117;4;0;2
118;4;0;2
119;4;0;2
120;4;0;2
121;4;0;2
122;4;0;2
123;4;0;2
124;4;0;2
125;4;0;2
126;4;0;2
127;4;0;2
128;4;0;2
129;4;0;2
130;4;0;2
131;4;0;2
132;4;0;2
133;4;0;2
134;4;0;2
135;4;0;2
136;4;0;2
137;4;0;2
138;4;0;2
139;4;0;2
140;4;0;2
141;4;0;2
142;4;0;2
143;4;0;2
144;4;0;2
145;4;0;2
146;4;0;2
147;4;0;2
148;4;0;2
149;4;0;2
150;4;0;2
151;4;0;2
152;4;0;2
153;4;0;2
154;4;0;2
155;4;0;2
156;4;0;2
157;4;0;2
158;4;0;2
159;4;0;2
160;4;0;2
161;4;0;2
162;4;0;2
163;4;0;2
164;4;0;2
165;4;0;2
166;4;0;2
167;4;0;2
168;4;0;2
169;4;0;2
170;4;0;2
171;4;0;2
172;4;0;2
173;4;0;2
174;4;0;2
175;4;0;2
176;4;0;2
177;4;0;2
178;4;0;2
179;4;0;2
180;4;0;2
181;4;0;2
182;4;0;2
183;4;0;2
184;4;0;2
185;4;0;2
186;4;0;2
187;4;0;2
188;4;0;2
189;4;0;2
190;4;0;2
191;4;0;2
192;4;0;2
193;4;0;2
194;4;0;2
195;4;0;2
196;4;0;2
197;4;0;2
198;4;0;2
199;4;0;2
200;4;0;2
201;4;0;3
202;4;0;3
203;4;0;3
204;4;0;3
205;4;0;3
206;4;0;3
207;4;0;3
208;4;0;3
209;4;0;3
210;4;0;3
211;4;0;3
212;4;0;3
213;4;0;3
214;4;0;3
215;4;0;3
216;4;0;3
217;4;0;3
218;4;0;3
219;4;0;3
220;4;0;3
221;4;0;3
222;4;0;3
223;4;0;3
224;4;0;3
225;4;0;3
226;4;0;3
227;4;0;3
228;4;0;3
229;4;0;3
230;4;0;3
231;4;0;3
232;4;0;3
233;4;0;3
234;4;0;3
235;4;0;3
236;4;0;3
237;4;0;3
238;4;0;3
239;4;0;3
240;4;0;3
241;4;0;3
242;4;0;3
243;4;0;3
244;4;0;3
245;4;0;3
246;4;0;3
247;4;0;3
248;4;0;3
249;4;0;3
250;4;0;3
251;4;0;3
252;4;0;3
253;4;0;3
254;4;0;3
255;4;0;3
256;4;0;3
257;4;0;3
258;4;0;3
259;4;0;3
260;4;0;3
261;4;0;3
262;4;0;3
263;4;0;3
264;4;0;3
265;4;0;3
266;4;0;3
267;4;0;3
268;4;0;3
269;4;0;3
270;4;0;3
271;4;0;3
272;4;0;3
273;4;0;3
274;4;0;3
275;4;0;3
276;4;0;3
277;4;0;3
278;4;0;3
279;4;0;3
280;4;0;3
281;4;0;3
282;4;0;3
283;4;0;3
284;4;0;3
285;4;0;3
286;4;0;3
287;4;0;3
288;4;0;3
289;4;0;3
290;4;0;3
291;4;0;3
292;4;0;3
293;4;0;3
294;4;0;3
295;4;0;3
296;4;0;3
297;4;0;3
298;4;0;3
299;4;0;3
300;4;0;3
301;4;0;4
302;4;0;4
303;4;0;4
304;4;0;4
305;4;0;4
306;4;0;4
307;4;0;4
308;4;0;4
309;4;0;4
310;4;0;4
311;4;0;4
312;4;0;4
313;4;0;4
314;4;0;4
315;4;0;4
316;4;0;4
317;4;0;4
318;4;0;4
319;4;0;4
320;4;0;4
321;4;0;4
322;4;0;4
323;4;0;4
324;4;0;4
325;4;0;4
326;4;0;4
327;4;0;4
328;4;0;4
329;4;0;4
330;4;0;4
331;4;0;4
332;4;0;4
333;4;0;4
334;4;0;4
335;4;0;4
336;4;0;4
337;4;0;4
338;4;0;4
339;4;0;4
340;4;0;4
341;4;0;4
342;4;0;4
343;4;0;4
344;4;0;4
345;4;0;4
346;4;0;4
347;4;0;4
348;4;0;4
349;4;0;4
350;4;0;4
351;4;0;4
352;4;0;4
353;4;0;4
354;4;0;4
355;4;0;4
356;4;0;4
357;4;0;4
358;4;0;4
359;4;0;4
360;4;0;4
361;4;0;4
362;4;0;4
363;4;0;4
364;4;0;4
365;4;0;4
366;4;0;4
367;4;0;4
368;4;0;4
369;4;0;4
370;4;0;4
371;4;0;4
372;4;0;4
373;4;0;4
374;4;0;4
375;4;0;4
376;4;0;4
377;4;0;4
378;4;0;4
379;4;0;4
380;4;0;4
381;4;0;4
382;4;0;4
383;4;0;4
384;4;0;4
385;4;0;4
386;4;0;4
387;4;0;4
388;4;0;4
389;4;0;4
390;4;0;4
391;4;0;4
392;4;0;4
393;4;0;4
394;4;0;4
395;4;0;4
396;4;0;4
397;4;0;4
398;4;0;4
399;4;0;4
400;4;0;4
401;4;0;5
402;4;0;5
403;4;0;5
404;4;0;5
405;4;0;5
406;4;0;5
407;4;0;5
408;4;0;5
409;4;0;5
410;4;0;5
411;4;0;5
412;4;0;5
413;4;0;5
414;4;0;5
415;4;0;5
416;4;0;5
417;4;0;5
418;4;0;5
419;4;0;5
420;4;0;5
421;4;0;5
422;4;0;5
423;4;0;5
424;4;0;5
425;4;0;5
426;4;0;5
427;4;0;5
428;4;0;5
429;4;0;5
430;4;0;5
431;4;0;5
432;4;0;5
433;4;0;5
434;4;0;5
435;4;0;5
436;4;0;5
437;4;0;5
438;4;0;5
439;4;0;5
440;4;0;5
441;4;0;5
442;4;0;5
443;4;0;5
444;4;0;5
445;4;0;5
446;4;0;5
447;4;0;5
448;4;0;5
449;4;0;5
450;4;0;5
451;4;3;5
452;4;4;5
453;4;4;5
454;4;4;5
455;4;4;5
456;4;4;5
457;4;4;5
458;4;4;5
459;4;4;5
460;4;4;5
461;4;4;5
462;4;4;5
463;4;4;5
464;4;4;5
465;4;4;5
466;4;4;5
467;4;4;5
468;4;4;5
469;4;4;5
470;4;4;5
471;4;4;5
472;4;4;5
473;4;4;5
474;4;4;5
475;4;4;5
476;4;4;5
477;4;4;5
478;4;4;5
479;4;4;5
480;4;4;5
481;4;4;5
482;4;4;5
483;4;4;5
484;4;4;5
485;4;4;5
486;4;4;5
487;4;4;5
488;4;4;5
489;4;4;5
490;4;4;5
491;4;4;5
492;4;4;5
493;4;4;5
494;4;4;5
495;4;4;5
496;4;4;5
497;4;4;5
498;4;4;5
499;4;4;5
500;4;4;5
